0,Smithfield North,24,6,True,30,False,Dublin,1458056133000,SMITHFIELD NORTH,42,"{'lat': 53.349562, 'lng': -6.278198}",OPEN,20160315153654
1,Parnell Square North,20,0,True,20,False,Dublin,1458056180000,PARNELL SQUARE NORTH,30,"{'lat': 53.353462, 'lng': -6.265305}",OPEN,20160315153654
2,Pearse Street,16,14,True,30,False,Dublin,1458056173000,PEARSE STREET,32,"{'lat': 53.344304, 'lng': -6.250427}",OPEN,20160315153654
3,Excise Walk,26,14,False,40,False,Dublin,1458055863000,EXCISE WALK,48,"{'lat': 53.347777, 'lng': -6.244239}",OPEN,20160315153654
4,Fitzwilliam Square West,2,28,False,30,False,Dublin,1458055687000,FITZWILLIAM SQUARE WEST,13,"{'lat': 53.336074, 'lng': -6.252825}",OPEN,20160315153654
5,St. James Hospital (Central),28,12,False,40,False,Dublin,1458056176000,ST. JAMES HOSPITAL (CENTRAL),81,"{'lat': 53.339983, 'lng': -6.295594}",OPEN,20160315153654
6,Hanover Quay,5,35,True,40,False,Dublin,1458055651000,HANOVER QUAY,68,"{'lat': 53.344115, 'lng': -6.237153}",OPEN,20160315153654
7,Oliver Bond Street,29,1,False,30,False,Dublin,1458055916000,OLIVER BOND STREET,74,"{'lat': 53.343893, 'lng': -6.280531}",OPEN,20160315153654
8,Collins Barracks Museum,35,3,True,38,False,Dublin,1458055724000,COLLINS BARRACKS MUSEUM,87,"{'lat': 53.347477, 'lng': -6.28525}",OPEN,20160315153654
9,Brookfield Road,15,15,False,30,False,Dublin,1458055725000,BROOKFIELD ROAD,84,"{'lat': 53.339005, 'lng': -6.300217}",OPEN,20160315153654
10,Clonmel Street,32,1,False,33,False,Dublin,1458056010000,CLONMEL STREET,54,"{'lat': 53.336021, 'lng': -6.26298}",OPEN,20160315153654
11,James Street East,5,25,False,30,False,Dublin,1458055643000,JAMES STREET EAST,20,"{'lat': 53.336485, 'lng': -6.248174}",OPEN,20160315153654
